ticker,minute,price,yes_ask,yes_bid
KXBTC15M-26JUN230200-00,3,0.2300,0.2400,0.2300
KXBTC15M-26JUN230200-00,4,0.2700,0.2700,0.2600
KXBTC15M-26JUN230200-00,5,0.4700,0.4800,0.4700
KXBTC15M-26JUN230300-00,3,0.5400,0.5400,0.5300
KXBTC15M-26JUN230300-00,4,0.4100,0.4200,0.4100
KXBTC15M-26JUN230300-00,5,0.5400,0.5400,0.5300
KXBTC15M-26JUN230345-45,3,0.2100,0.2100,0.2000
KXBTC15M-26JUN230345-45,4,0.2700,0.2700,0.2600
KXBTC15M-26JUN230345-45,5,0.1200,0.1300,0.1200
KXBTC15M-26JUN230330-30,3,0.2900,0.3000,0.2900
KXBTC15M-26JUN230330-30,4,0.5000,0.5000,0.4900
KXBTC15M-26JUN230330-30,5,0.6800,0.6900,0.6800
KXBTC15M-26JUN230215-15,3,0.3700,0.3700,0.3600
KXBTC15M-26JUN230215-15,4,0.3100,0.3100,0.3000
KXBTC15M-26JUN230215-15,5,0.2700,0.2800,0.2700
KXBTC15M-26JUN230000-00,3,0.7000,0.7000,0.6800
KXBTC15M-26JUN230000-00,4,0.5700,0.5800,0.5700
KXBTC15M-26JUN230000-00,5,0.8900,0.9060,0.8900
KXBTC15M-26JUN230315-15,3,0.5400,0.5400,0.5300
KXBTC15M-26JUN230315-15,4,0.5300,0.5300,0.5200
KXBTC15M-26JUN230315-15,5,0.5000,0.5100,0.5000
KXBTC15M-26JUN230015-15,3,0.4400,0.4400,0.4300
KXBTC15M-26JUN230015-15,4,0.5400,0.5500,0.5400
KXBTC15M-26JUN230015-15,5,0.4800,0.4800,0.4600
KXBTC15M-26JUN222345-45,3,0.3600,0.3600,0.3500
KXBTC15M-26JUN222345-45,4,0.2500,0.2500,0.2300
KXBTC15M-26JUN222345-45,5,0.3200,0.3200,0.3000
KXBTC15M-26JUN222300-00,3,0.1700,0.1700,0.1600
KXBTC15M-26JUN222300-00,4,0.1700,0.1700,0.1600
KXBTC15M-26JUN222300-00,5,0.3400,0.3500,0.3400
KXBTC15M-26JUN222245-45,3,0.5200,0.5300,0.5200
KXBTC15M-26JUN222245-45,4,0.7100,0.7200,0.7100
KXBTC15M-26JUN222245-45,5,0.5900,0.5900,0.5800
KXBTC15M-26JUN230100-00,3,0.4900,0.5000,0.4900
KXBTC15M-26JUN230100-00,4,0.6100,0.6000,0.5900
KXBTC15M-26JUN230100-00,5,0.1200,0.1200,0.1100
KXBTC15M-26JUN230245-45,3,0.8100,0.8200,0.8100
KXBTC15M-26JUN230245-45,4,0.7800,0.7900,0.7800
KXBTC15M-26JUN230245-45,5,0.8200,0.8200,0.8100
KXBTC15M-26JUN230145-45,3,0.5400,0.5300,0.5200
KXBTC15M-26JUN230145-45,4,0.4300,0.4400,0.4300
KXBTC15M-26JUN230145-45,5,0.4800,0.4800,0.4700
KXBTC15M-26JUN222230-30,3,0.7800,0.7900,0.7800
KXBTC15M-26JUN222230-30,4,0.7600,0.7600,0.7500
KXBTC15M-26JUN222230-30,5,0.8500,0.8500,0.8400
KXBTC15M-26JUN222215-15,3,0.3600,0.3700,0.3600
KXBTC15M-26JUN222215-15,4,0.4800,0.4800,0.4700
KXBTC15M-26JUN222215-15,5,0.3000,0.3000,0.2900
KXBTC15M-26JUN222330-30,3,0.7600,0.7500,0.7400
KXBTC15M-26JUN222330-30,4,0.7700,0.7800,0.7600
KXBTC15M-26JUN222330-30,5,0.7200,0.7300,0.7200
KXBTC15M-26JUN222100-00,3,0.3800,0.3800,0.3700
KXBTC15M-26JUN222100-00,4,0.5800,0.5800,0.5700
KXBTC15M-26JUN222100-00,5,0.5600,0.5700,0.5600
KXBTC15M-26JUN222115-15,3,0.8200,0.8200,0.8100
KXBTC15M-26JUN222115-15,4,0.8200,0.8300,0.8200
KXBTC15M-26JUN222115-15,5,0.8400,0.8500,0.8400
KXBTC15M-26JUN222030-30,3,0.5100,0.5000,0.4900
KXBTC15M-26JUN222030-30,4,0.3200,0.3200,0.3100
KXBTC15M-26JUN222030-30,5,0.1800,0.1900,0.1800
KXBTC15M-26JUN222045-45,3,0.9190,0.9190,0.9180
KXBTC15M-26JUN222045-45,4,0.9290,0.9290,0.9280
KXBTC15M-26JUN222045-45,5,0.9160,0.9170,0.9160
KXBTC15M-26JUN222145-45,3,0.4400,0.4400,0.4300
KXBTC15M-26JUN222145-45,4,0.2600,0.2600,0.2500
KXBTC15M-26JUN222145-45,5,0.0790,0.0800,0.0790
KXBTC15M-26JUN222015-15,3,0.4000,0.4000,0.3900
KXBTC15M-26JUN222015-15,4,0.4800,0.5000,0.4800
KXBTC15M-26JUN222015-15,5,0.5400,0.5400,0.5300
KXBTC15M-26JUN222000-00,3,0.4200,0.4200,0.4100
KXBTC15M-26JUN222000-00,4,0.4200,0.4200,0.4100
KXBTC15M-26JUN222000-00,5,0.3000,0.3000,0.2900
KXBTC15M-26JUN221930-30,3,0.2800,0.2900,0.2800
KXBTC15M-26JUN221930-30,4,0.1900,0.1900,0.1800
KXBTC15M-26JUN221930-30,5,0.2500,0.2500,0.2300
KXBTC15M-26JUN230030-30,3,0.1700,0.1700,0.1600
