ticker,open_time,close_time,floor_strike,result
KXBTC15M-26APR172000-00,2026-04-17T23:45:00Z,2026-04-18T00:00:00Z,77065.49,yes
KXBTC15M-26APR172015-15,2026-04-18T00:00:00Z,2026-04-18T00:15:00Z,77147.86,no
KXBTC15M-26APR172030-30,2026-04-18T00:15:00Z,2026-04-18T00:30:00Z,77130.77,yes
KXBTC15M-26APR172045-45,2026-04-18T00:30:00Z,2026-04-18T00:45:00Z,77259.74,no
KXBTC15M-26APR172100-00,2026-04-18T00:45:00Z,2026-04-18T01:00:00Z,77100.84,yes
KXBTC15M-26APR172115-15,2026-04-18T01:00:00Z,2026-04-18T01:15:00Z,77192.73,yes
KXBTC15M-26APR172130-30,2026-04-18T01:15:00Z,2026-04-18T01:30:00Z,77344.83,no
KXBTC15M-26APR172145-45,2026-04-18T01:30:00Z,2026-04-18T01:45:00Z,77324.84,no
KXBTC15M-26APR172200-00,2026-04-18T01:45:00Z,2026-04-18T02:00:00Z,77306.26,no
KXBTC15M-26APR172215-15,2026-04-18T02:00:00Z,2026-04-18T02:15:00Z,77248.6,yes
KXBTC15M-26APR172230-30,2026-04-18T02:15:00Z,2026-04-18T02:30:00Z,77289.07,yes
KXBTC15M-26APR172245-45,2026-04-18T02:30:00Z,2026-04-18T02:45:00Z,77354.57,no
KXBTC15M-26APR172300-00,2026-04-18T02:45:00Z,2026-04-18T03:00:00Z,77348.83,no
KXBTC15M-26APR172315-15,2026-04-18T03:00:00Z,2026-04-18T03:15:00Z,77325.55,no
KXBTC15M-26APR172330-30,2026-04-18T03:15:00Z,2026-04-18T03:30:00Z,77296.53,no
KXBTC15M-26APR172345-45,2026-04-18T03:30:00Z,2026-04-18T03:45:00Z,77213.22,no
KXBTC15M-26APR180000-00,2026-04-18T03:45:00Z,2026-04-18T04:00:00Z,77199.6,no
KXBTC15M-26APR180015-15,2026-04-18T04:00:00Z,2026-04-18T04:15:00Z,77033.8,yes
KXBTC15M-26APR180030-30,2026-04-18T04:15:00Z,2026-04-18T04:30:00Z,77120.86,no
KXBTC15M-26APR180045-45,2026-04-18T04:30:00Z,2026-04-18T04:45:00Z,77029.63,yes
KXBTC15M-26APR180100-00,2026-04-18T04:45:00Z,2026-04-18T05:00:00Z,77099.21,yes
KXBTC15M-26APR180115-15,2026-04-18T05:00:00Z,2026-04-18T05:15:00Z,77162.91,yes
KXBTC15M-26APR180130-30,2026-04-18T05:15:00Z,2026-04-18T05:30:00Z,77239.04,no
KXBTC15M-26APR180145-45,2026-04-18T05:30:00Z,2026-04-18T05:45:00Z,77196.61,no
KXBTC15M-26APR180200-00,2026-04-18T05:45:00Z,2026-04-18T06:00:00Z,77187.94,no
KXBTC15M-26APR180215-15,2026-04-18T06:00:00Z,2026-04-18T06:15:00Z,77169.38,yes
KXBTC15M-26APR180230-30,2026-04-18T06:15:00Z,2026-04-18T06:30:00Z,77204.85,no
KXBTC15M-26APR180245-45,2026-04-18T06:30:00Z,2026-04-18T06:45:00Z,77131.18,yes
KXBTC15M-26APR180300-00,2026-04-18T06:45:00Z,2026-04-18T07:00:00Z,77170.42,no
KXBTC15M-26APR180315-15,2026-04-18T07:00:00Z,2026-04-18T07:15:00Z,77138.69,no
KXBTC15M-26APR180330-30,2026-04-18T07:15:00Z,2026-04-18T07:30:00Z,77101.68,yes
KXBTC15M-26APR180345-45,2026-04-18T07:30:00Z,2026-04-18T07:45:00Z,77118.42,no
KXBTC15M-26APR180400-00,2026-04-18T07:45:00Z,2026-04-18T08:00:00Z,77016.72,yes
KXBTC15M-26APR180415-15,2026-04-18T08:00:00Z,2026-04-18T08:15:00Z,77018.78,no
KXBTC15M-26APR180430-30,2026-04-18T08:15:00Z,2026-04-18T08:30:00Z,76894.26,no
KXBTC15M-26APR180445-45,2026-04-18T08:30:00Z,2026-04-18T08:45:00Z,76732.98,no
KXBTC15M-26APR180500-00,2026-04-18T08:45:00Z,2026-04-18T09:00:00Z,76553.78,yes
KXBTC15M-26APR180515-15,2026-04-18T09:00:00Z,2026-04-18T09:15:00Z,76763.6,no
KXBTC15M-26APR180530-30,2026-04-18T09:15:00Z,2026-04-18T09:30:00Z,76576.23,yes
KXBTC15M-26APR180545-45,2026-04-18T09:30:00Z,2026-04-18T09:45:00Z,76603.61,yes
KXBTC15M-26APR180600-00,2026-04-18T09:45:00Z,2026-04-18T10:00:00Z,76653.53,no
KXBTC15M-26APR180615-15,2026-04-18T10:00:00Z,2026-04-18T10:15:00Z,76632.2,no
KXBTC15M-26APR180630-30,2026-04-18T10:15:00Z,2026-04-18T10:30:00Z,76314.14,yes
KXBTC15M-26APR180645-45,2026-04-18T10:30:00Z,2026-04-18T10:45:00Z,76353.44,no
KXBTC15M-26APR180700-00,2026-04-18T10:45:00Z,2026-04-18T11:00:00Z,76277.29,no
KXBTC15M-26APR180715-15,2026-04-18T11:00:00Z,2026-04-18T11:15:00Z,76194.11,no
KXBTC15M-26APR180730-30,2026-04-18T11:15:00Z,2026-04-18T11:30:00Z,76007.95,yes
KXBTC15M-26APR180745-45,2026-04-18T11:30:00Z,2026-04-18T11:45:00Z,76091.8,no
KXBTC15M-26APR180800-00,2026-04-18T11:45:00Z,2026-04-18T12:00:00Z,75862.47,yes
KXBTC15M-26APR180815-15,2026-04-18T12:00:00Z,2026-04-18T12:15:00Z,76070.49,yes
KXBTC15M-26APR180830-30,2026-04-18T12:15:00Z,2026-04-18T12:30:00Z,76232.33,no
KXBTC15M-26APR180845-45,2026-04-18T12:30:00Z,2026-04-18T12:45:00Z,76203.65,no
KXBTC15M-26APR180900-00,2026-04-18T12:45:00Z,2026-04-18T13:00:00Z,76197.71,yes
KXBTC15M-26APR180915-15,2026-04-18T13:00:00Z,2026-04-18T13:15:00Z,76241.06,no
KXBTC15M-26APR180930-30,2026-04-18T13:15:00Z,2026-04-18T13:30:00Z,76192.88,no
KXBTC15M-26APR180945-45,2026-04-18T13:30:00Z,2026-04-18T13:45:00Z,76126.43,no
KXBTC15M-26APR181000-00,2026-04-18T13:45:00Z,2026-04-18T14:00:00Z,75990.1,yes
KXBTC15M-26APR181015-15,2026-04-18T14:00:00Z,2026-04-18T14:15:00Z,76158.73,yes
KXBTC15M-26APR181030-30,2026-04-18T14:15:00Z,2026-04-18T14:30:00Z,76187.14,no
KXBTC15M-26APR181045-45,2026-04-18T14:30:00Z,2026-04-18T14:45:00Z,76168.86,yes
KXBTC15M-26APR181100-00,2026-04-18T14:45:00Z,2026-04-18T15:00:00Z,76258.18,yes
KXBTC15M-26APR181115-15,2026-04-18T15:00:00Z,2026-04-18T15:15:00Z,76283.99,no
KXBTC15M-26APR181130-30,2026-04-18T15:15:00Z,2026-04-18T15:30:00Z,76223.47,yes
KXBTC15M-26APR181145-45,2026-04-18T15:30:00Z,2026-04-18T15:45:00Z,76239.77,no
KXBTC15M-26APR181200-00,2026-04-18T15:45:00Z,2026-04-18T16:00:00Z,76171.35,yes
KXBTC15M-26APR181215-15,2026-04-18T16:00:00Z,2026-04-18T16:15:00Z,76193.98,yes
KXBTC15M-26APR181230-30,2026-04-18T16:15:00Z,2026-04-18T16:30:00Z,76241.22,no
KXBTC15M-26APR181245-45,2026-04-18T16:30:00Z,2026-04-18T16:45:00Z,76129.23,no
KXBTC15M-26APR181300-00,2026-04-18T16:45:00Z,2026-04-18T17:00:00Z,76039.25,no
KXBTC15M-26APR181315-15,2026-04-18T17:00:00Z,2026-04-18T17:15:00Z,75974.05,no
KXBTC15M-26APR181330-30,2026-04-18T17:15:00Z,2026-04-18T17:30:00Z,75861.99,yes
KXBTC15M-26APR181345-45,2026-04-18T17:30:00Z,2026-04-18T17:45:00Z,75908.53,yes
KXBTC15M-26APR181400-00,2026-04-18T17:45:00Z,2026-04-18T18:00:00Z,75919.56,no
KXBTC15M-26APR181415-15,2026-04-18T18:00:00Z,2026-04-18T18:15:00Z,75878.31,no
KXBTC15M-26APR181430-30,2026-04-18T18:15:00Z,2026-04-18T18:30:00Z,75833.99,no
KXBTC15M-26APR181445-45,2026-04-18T18:30:00Z,2026-04-18T18:45:00Z,75696.98,no
KXBTC15M-26APR181500-00,2026-04-18T18:45:00Z,2026-04-18T19:00:00Z,75597.07,yes
KXBTC15M-26APR181515-15,2026-04-18T19:00:00Z,2026-04-18T19:15:00Z,75677.05,yes
KXBTC15M-26APR181530-30,2026-04-18T19:15:00Z,2026-04-18T19:30:00Z,75779.53,no
KXBTC15M-26APR181545-45,2026-04-18T19:30:00Z,2026-04-18T19:45:00Z,75722.63,no
KXBTC15M-26APR181600-00,2026-04-18T19:45:00Z,2026-04-18T20:00:00Z,75631.79,yes
KXBTC15M-26APR181615-15,2026-04-18T20:00:00Z,2026-04-18T20:15:00Z,75695.91,yes
KXBTC15M-26APR181630-30,2026-04-18T20:15:00Z,2026-04-18T20:30:00Z,75725.24,yes
KXBTC15M-26APR181645-45,2026-04-18T20:30:00Z,2026-04-18T20:45:00Z,75748.07,yes
KXBTC15M-26APR181700-00,2026-04-18T20:45:00Z,2026-04-18T21:00:00Z,75815.77,no
KXBTC15M-26APR181715-15,2026-04-18T21:00:00Z,2026-04-18T21:15:00Z,75796.88,no
KXBTC15M-26APR181730-30,2026-04-18T21:15:00Z,2026-04-18T21:30:00Z,75775.3,no
KXBTC15M-26APR181745-45,2026-04-18T21:30:00Z,2026-04-18T21:45:00Z,75742.25,yes
KXBTC15M-26APR181800-00,2026-04-18T21:45:00Z,2026-04-18T22:00:00Z,75759.73,yes
KXBTC15M-26APR181815-15,2026-04-18T22:00:00Z,2026-04-18T22:15:00Z,75845.07,no
KXBTC15M-26APR181830-30,2026-04-18T22:15:00Z,2026-04-18T22:30:00Z,75697.07,yes
KXBTC15M-26APR181845-45,2026-04-18T22:30:00Z,2026-04-18T22:45:00Z,75746.44,yes
KXBTC15M-26APR181900-00,2026-04-18T22:45:00Z,2026-04-18T23:00:00Z,75808.16,yes
KXBTC15M-26APR181915-15,2026-04-18T23:00:00Z,2026-04-18T23:15:00Z,75858.14,yes
KXBTC15M-26APR181930-30,2026-04-18T23:15:00Z,2026-04-18T23:30:00Z,75868.99,no
KXBTC15M-26APR181945-45,2026-04-18T23:30:00Z,2026-04-18T23:45:00Z,75860.84,no
KXBTC15M-26APR182000-00,2026-04-18T23:45:00Z,2026-04-19T00:00:00Z,75793.14,no
KXBTC15M-26APR182015-15,2026-04-19T00:00:00Z,2026-04-19T00:15:00Z,75735.24,yes
KXBTC15M-26APR182030-30,2026-04-19T00:15:00Z,2026-04-19T00:30:00Z,75804.74,no
KXBTC15M-26APR182045-45,2026-04-19T00:30:00Z,2026-04-19T00:45:00Z,75645.92,no
KXBTC15M-26APR182100-00,2026-04-19T00:45:00Z,2026-04-19T01:00:00Z,75613.58,yes
KXBTC15M-26APR182115-15,2026-04-19T01:00:00Z,2026-04-19T01:15:00Z,75681.2,no
KXBTC15M-26APR182130-30,2026-04-19T01:15:00Z,2026-04-19T01:30:00Z,75677.36,no
KXBTC15M-26APR182145-45,2026-04-19T01:30:00Z,2026-04-19T01:45:00Z,75588.93,yes
KXBTC15M-26APR182200-00,2026-04-19T01:45:00Z,2026-04-19T02:00:00Z,75588.98,yes
KXBTC15M-26APR182215-15,2026-04-19T02:00:00Z,2026-04-19T02:15:00Z,75653.13,no
KXBTC15M-26APR182230-30,2026-04-19T02:15:00Z,2026-04-19T02:30:00Z,75649.54,no
KXBTC15M-26APR182245-45,2026-04-19T02:30:00Z,2026-04-19T02:45:00Z,75515.78,yes
KXBTC15M-26APR182300-00,2026-04-19T02:45:00Z,2026-04-19T03:00:00Z,75688.75,no
KXBTC15M-26APR182315-15,2026-04-19T03:00:00Z,2026-04-19T03:15:00Z,75560,yes
KXBTC15M-26APR182330-30,2026-04-19T03:15:00Z,2026-04-19T03:30:00Z,75562.61,no
KXBTC15M-26APR182345-45,2026-04-19T03:30:00Z,2026-04-19T03:45:00Z,75542.14,yes
KXBTC15M-26APR190000-00,2026-04-19T03:45:00Z,2026-04-19T04:00:00Z,75633.21,no
KXBTC15M-26APR190015-15,2026-04-19T04:00:00Z,2026-04-19T04:15:00Z,75550.22,yes
KXBTC15M-26APR190030-30,2026-04-19T04:15:00Z,2026-04-19T04:30:00Z,75758.17,no
KXBTC15M-26APR190045-45,2026-04-19T04:30:00Z,2026-04-19T04:45:00Z,75718.82,no
KXBTC15M-26APR190100-00,2026-04-19T04:45:00Z,2026-04-19T05:00:00Z,75554.02,yes
KXBTC15M-26APR190115-15,2026-04-19T05:00:00Z,2026-04-19T05:15:00Z,75701.86,no
KXBTC15M-26APR190130-30,2026-04-19T05:15:00Z,2026-04-19T05:30:00Z,75591.42,yes
KXBTC15M-26APR190145-45,2026-04-19T05:30:00Z,2026-04-19T05:45:00Z,75597,yes
KXBTC15M-26APR190200-00,2026-04-19T05:45:00Z,2026-04-19T06:00:00Z,75641.01,no
KXBTC15M-26APR190215-15,2026-04-19T06:00:00Z,2026-04-19T06:15:00Z,75585.57,no
KXBTC15M-26APR190230-30,2026-04-19T06:15:00Z,2026-04-19T06:30:00Z,75448.9,no
KXBTC15M-26APR190245-45,2026-04-19T06:30:00Z,2026-04-19T06:45:00Z,75447.72,yes
KXBTC15M-26APR190300-00,2026-04-19T06:45:00Z,2026-04-19T07:00:00Z,75464.44,no
KXBTC15M-26APR190315-15,2026-04-19T07:00:00Z,2026-04-19T07:15:00Z,75428.5,no
KXBTC15M-26APR190330-30,2026-04-19T07:15:00Z,2026-04-19T07:30:00Z,75283.15,no
KXBTC15M-26APR190345-45,2026-04-19T07:30:00Z,2026-04-19T07:45:00Z,75034.56,yes
KXBTC15M-26APR190400-00,2026-04-19T07:45:00Z,2026-04-19T08:00:00Z,75230.48,yes
KXBTC15M-26APR190415-15,2026-04-19T08:00:00Z,2026-04-19T08:15:00Z,75301.79,yes
KXBTC15M-26APR190430-30,2026-04-19T08:15:00Z,2026-04-19T08:30:00Z,75309.03,no
KXBTC15M-26APR190445-45,2026-04-19T08:30:00Z,2026-04-19T08:45:00Z,75204.77,yes
KXBTC15M-26APR190500-00,2026-04-19T08:45:00Z,2026-04-19T09:00:00Z,75276.47,no
KXBTC15M-26APR190515-15,2026-04-19T09:00:00Z,2026-04-19T09:15:00Z,75273.9,no
KXBTC15M-26APR190530-30,2026-04-19T09:15:00Z,2026-04-19T09:30:00Z,75218.29,no
KXBTC15M-26APR190545-45,2026-04-19T09:30:00Z,2026-04-19T09:45:00Z,75141.95,no
KXBTC15M-26APR190600-00,2026-04-19T09:45:00Z,2026-04-19T10:00:00Z,75111.93,no
KXBTC15M-26APR190615-15,2026-04-19T10:00:00Z,2026-04-19T10:15:00Z,75045.21,yes
KXBTC15M-26APR190630-30,2026-04-19T10:15:00Z,2026-04-19T10:30:00Z,75075.31,yes
KXBTC15M-26APR190645-45,2026-04-19T10:30:00Z,2026-04-19T10:45:00Z,75121.6,yes
KXBTC15M-26APR190700-00,2026-04-19T10:45:00Z,2026-04-19T11:00:00Z,75125.32,yes
KXBTC15M-26APR190715-15,2026-04-19T11:00:00Z,2026-04-19T11:15:00Z,75251.35,yes
KXBTC15M-26APR190730-30,2026-04-19T11:15:00Z,2026-04-19T11:30:00Z,75425.02,no
KXBTC15M-26APR190745-45,2026-04-19T11:30:00Z,2026-04-19T11:45:00Z,75420.84,yes
KXBTC15M-26APR190800-00,2026-04-19T11:45:00Z,2026-04-19T12:00:00Z,75550.24,yes
KXBTC15M-26APR190815-15,2026-04-19T12:00:00Z,2026-04-19T12:15:00Z,75635.84,yes
KXBTC15M-26APR190830-30,2026-04-19T12:15:00Z,2026-04-19T12:30:00Z,75665.4,no
KXBTC15M-26APR190845-45,2026-04-19T12:30:00Z,2026-04-19T12:45:00Z,75562.87,no
KXBTC15M-26APR190900-00,2026-04-19T12:45:00Z,2026-04-19T13:00:00Z,75541.07,yes
KXBTC15M-26APR190915-15,2026-04-19T13:00:00Z,2026-04-19T13:15:00Z,75614.08,yes
KXBTC15M-26APR190930-30,2026-04-19T13:15:00Z,2026-04-19T13:30:00Z,75770.75,yes
KXBTC15M-26APR190945-45,2026-04-19T13:30:00Z,2026-04-19T13:45:00Z,76070.78,no
KXBTC15M-26APR191000-00,2026-04-19T13:45:00Z,2026-04-19T14:00:00Z,76055.76,no
KXBTC15M-26APR191015-15,2026-04-19T14:00:00Z,2026-04-19T14:15:00Z,75929.04,no
KXBTC15M-26APR191030-30,2026-04-19T14:15:00Z,2026-04-19T14:30:00Z,75832.34,yes
KXBTC15M-26APR191045-45,2026-04-19T14:30:00Z,2026-04-19T14:45:00Z,76001.65,yes
KXBTC15M-26APR191100-00,2026-04-19T14:45:00Z,2026-04-19T15:00:00Z,76012.01,yes
KXBTC15M-26APR191115-15,2026-04-19T15:00:00Z,2026-04-19T15:15:00Z,76064.92,yes
KXBTC15M-26APR191130-30,2026-04-19T15:15:00Z,2026-04-19T15:30:00Z,76065.26,no
KXBTC15M-26APR191145-45,2026-04-19T15:30:00Z,2026-04-19T15:45:00Z,76001.93,no
KXBTC15M-26APR191200-00,2026-04-19T15:45:00Z,2026-04-19T16:00:00Z,75771.7,yes
KXBTC15M-26APR191215-15,2026-04-19T16:00:00Z,2026-04-19T16:15:00Z,75856.82,no
KXBTC15M-26APR191230-30,2026-04-19T16:15:00Z,2026-04-19T16:30:00Z,75718.09,no
KXBTC15M-26APR191245-45,2026-04-19T16:30:00Z,2026-04-19T16:45:00Z,75608.21,no
KXBTC15M-26APR191300-00,2026-04-19T16:45:00Z,2026-04-19T17:00:00Z,75566.5,no
KXBTC15M-26APR191315-15,2026-04-19T17:00:00Z,2026-04-19T17:15:00Z,75429.83,no
KXBTC15M-26APR191330-30,2026-04-19T17:15:00Z,2026-04-19T17:30:00Z,75275.98,yes
KXBTC15M-26APR191345-45,2026-04-19T17:30:00Z,2026-04-19T17:45:00Z,75299.67,no
KXBTC15M-26APR191400-00,2026-04-19T17:45:00Z,2026-04-19T18:00:00Z,75221.92,no
KXBTC15M-26APR191415-15,2026-04-19T18:00:00Z,2026-04-19T18:15:00Z,74817.55,yes
KXBTC15M-26APR191430-30,2026-04-19T18:15:00Z,2026-04-19T18:30:00Z,74844.39,no
KXBTC15M-26APR191445-45,2026-04-19T18:30:00Z,2026-04-19T18:45:00Z,74813.42,no
KXBTC15M-26APR191500-00,2026-04-19T18:45:00Z,2026-04-19T19:00:00Z,74705.76,yes
KXBTC15M-26APR191515-15,2026-04-19T19:00:00Z,2026-04-19T19:15:00Z,74803.9,yes
KXBTC15M-26APR191530-30,2026-04-19T19:15:00Z,2026-04-19T19:30:00Z,74994.71,yes
KXBTC15M-26APR191545-45,2026-04-19T19:30:00Z,2026-04-19T19:45:00Z,74997.11,yes
KXBTC15M-26APR191600-00,2026-04-19T19:45:00Z,2026-04-19T20:00:00Z,75012.68,no
KXBTC15M-26APR191615-15,2026-04-19T20:00:00Z,2026-04-19T20:15:00Z,75001.15,no
KXBTC15M-26APR191630-30,2026-04-19T20:15:00Z,2026-04-19T20:30:00Z,74813.53,no
KXBTC15M-26APR191645-45,2026-04-19T20:30:00Z,2026-04-19T20:45:00Z,74783.1,no
KXBTC15M-26APR191700-00,2026-04-19T20:45:00Z,2026-04-19T21:00:00Z,74661.86,yes
