ticker,open_time,close_time,result
KXBTC15M-26JUN232315-15,2026-06-24T03:00:00Z,2026-06-24T03:15:00Z,no
KXBTC15M-26JUN291600-00,2026-06-29T19:45:00Z,2026-06-29T20:00:00Z,no
KXBTC15M-26JUN230115-15,2026-06-23T05:00:00Z,2026-06-23T05:15:00Z,no
KXBTC15M-26JUN301330-30,2026-06-30T17:15:00Z,2026-06-30T17:30:00Z,no
KXBTC15M-26JUN291200-00,2026-06-29T15:45:00Z,2026-06-29T16:00:00Z,yes
KXBTC15M-26JUN230145-45,2026-06-23T05:30:00Z,2026-06-23T05:45:00Z,no
KXBTC15M-26JUN281115-15,2026-06-28T15:00:00Z,2026-06-28T15:15:00Z,yes
KXBTC15M-26JUN291345-45,2026-06-29T17:30:00Z,2026-06-29T17:45:00Z,yes
KXBTC15M-26JUN300945-45,2026-06-30T13:30:00Z,2026-06-30T13:45:00Z,yes
KXBTC15M-26JUN222300-00,2026-06-23T02:45:00Z,2026-06-23T03:00:00Z,no
KXBTC15M-26JUN261715-15,2026-06-26T21:00:00Z,2026-06-26T21:15:00Z,yes
KXBTC15M-26JUN261545-45,2026-06-26T19:30:00Z,2026-06-26T19:45:00Z,no
KXBTC15M-26JUN231045-45,2026-06-23T14:30:00Z,2026-06-23T14:45:00Z,no
KXBTC15M-26JUN282015-15,2026-06-29T00:00:00Z,2026-06-29T00:15:00Z,yes
KXBTC15M-26JUN232030-30,2026-06-24T00:15:00Z,2026-06-24T00:30:00Z,no
KXBTC15M-26JUN301030-30,2026-06-30T14:15:00Z,2026-06-30T14:30:00Z,yes
KXBTC15M-26JUN231730-30,2026-06-23T21:15:00Z,2026-06-23T21:30:00Z,yes
KXBTC15M-26JUN301515-15,2026-06-30T19:00:00Z,2026-06-30T19:15:00Z,no
KXBTC15M-26JUN291445-45,2026-06-29T18:30:00Z,2026-06-29T18:45:00Z,no
KXBTC15M-26JUN291330-30,2026-06-29T17:15:00Z,2026-06-29T17:30:00Z,yes
KXBTC15M-26JUN252230-30,2026-06-26T02:15:00Z,2026-06-26T02:30:00Z,yes
KXBTC15M-26JUN230300-00,2026-06-23T06:45:00Z,2026-06-23T07:00:00Z,no
KXBTC15M-26JUN260030-30,2026-06-26T04:15:00Z,2026-06-26T04:30:00Z,yes
KXBTC15M-26JUN230200-00,2026-06-23T05:45:00Z,2026-06-23T06:00:00Z,no
KXBTC15M-26JUN232115-15,2026-06-24T01:00:00Z,2026-06-24T01:15:00Z,no
KXBTC15M-26JUN231600-00,2026-06-23T19:45:00Z,2026-06-23T20:00:00Z,yes
KXBTC15M-26JUN301245-45,2026-06-30T16:30:00Z,2026-06-30T16:45:00Z,yes
KXBTC15M-26JUN282045-45,2026-06-29T00:30:00Z,2026-06-29T00:45:00Z,yes
KXBTC15M-26JUN270000-00,2026-06-27T03:45:00Z,2026-06-27T04:00:00Z,no
KXBTC15M-26JUN230130-30,2026-06-23T05:15:00Z,2026-06-23T05:30:00Z,no
KXBTC15M-26JUN251600-00,2026-06-25T19:45:00Z,2026-06-25T20:00:00Z,no
KXBTC15M-26JUN231415-15,2026-06-23T18:00:00Z,2026-06-23T18:15:00Z,yes
KXBTC15M-26JUN300915-15,2026-06-30T13:00:00Z,2026-06-30T13:15:00Z,yes
KXBTC15M-26JUN252115-15,2026-06-26T01:00:00Z,2026-06-26T01:15:00Z,no
KXBTC15M-26JUN301345-45,2026-06-30T17:30:00Z,2026-06-30T17:45:00Z,no
KXBTC15M-26JUN231100-00,2026-06-23T14:45:00Z,2026-06-23T15:00:00Z,no
KXBTC15M-26JUN292000-00,2026-06-29T23:45:00Z,2026-06-30T00:00:00Z,no
KXBTC15M-26JUN232330-30,2026-06-24T03:15:00Z,2026-06-24T03:30:00Z,yes
KXBTC15M-26JUN232245-45,2026-06-24T02:30:00Z,2026-06-24T02:45:00Z,no
KXBTC15M-26JUN262300-00,2026-06-27T02:45:00Z,2026-06-27T03:00:00Z,yes
KXBTC15M-26JUN281900-00,2026-06-28T22:45:00Z,2026-06-28T23:00:00Z,no
KXBTC15M-26JUN270030-30,2026-06-27T04:15:00Z,2026-06-27T04:30:00Z,no
