ts,signal,side,delta,p_model,snr,ofi_1min,ofi_5min,entry_price,confidence,chainlink_price,binance_price,market_slug,window_start,window_end
2026-06-16T13:51:56.117052+00:00,BUY NO (DOWN),NO,-22.64,0.8929,2.485,-696950.0,-1830211.0,,0.8929,,66102.0,KXBTC15M-26JUN160930-30,2026-06-16T13:45:00+00:00,2026-06-16T14:00:00+00:00
2026-06-16T13:52:27.263071+00:00,BUY NO (DOWN),NO,-20.93,0.8896,2.449,-317713.0,-1509303.0,,0.8896,,66108.0,KXBTC15M-26JUN160930-30,2026-06-16T13:45:00+00:00,2026-06-16T14:00:00+00:00
2026-06-16T13:56:19.830813+00:00,BUY NO (DOWN),NO,-32.46,0.9999,7.615,19418.0,-250949.0,,0.9999,,66096.47,KXBTC15M-26JUN160930-30,2026-06-16T13:45:00+00:00,2026-06-16T14:00:00+00:00
2026-06-16T14:08:17.967964+00:00,BUY NO (DOWN),NO,-20.87,0.8613,2.172,-1347144.0,-1370833.0,,0.8613,,66038.01,KXBTC15M-26JUN160930-30,2026-06-16T14:00:00+00:00,2026-06-16T14:15:00+00:00
2026-06-16T14:14:15.750681+00:00,BUY NO (DOWN),NO,-20.87,1.0,23.341,-315462.0,-246528.0,,1.0,,66038.01,KXBTC15M-26JUN160930-30,2026-06-16T14:00:00+00:00,2026-06-16T14:15:00+00:00
2026-06-16T14:18:01.396343+00:00,BUY NO (DOWN),NO,-173.87,1.0,8.797,-432663.0,-3049889.0,,1.0,,65842.29,KXBTC15M-26JUN160930-30,2026-06-16T14:15:00+00:00,2026-06-16T14:30:00+00:00
2026-06-16T14:33:00.030112+00:00,BUY NO (DOWN),NO,-157.08,1.0,7.869,-2544032.0,-4954275.0,,1.0,,65396.01,KXBTC15M-26JUN160930-30,2026-06-16T14:30:00+00:00,2026-06-16T14:45:00+00:00
2026-06-16T14:48:02.061018+00:00,BUY NO (DOWN),NO,-24.01,0.8059,1.726,-969785.0,-1001891.0,,0.8059,,65668.0,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:48:50.207003+00:00,BUY NO (DOWN),NO,-28.27,0.8578,2.141,-1164690.0,-1005032.0,,0.8578,,65662.63,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:49:31.303442+00:00,BUY NO (DOWN),NO,-26.57,0.8515,2.086,-444663.0,-1171854.0,,0.8515,,65667.94,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:49:36.489978+00:00,BUY NO (DOWN),NO,-26.0,0.8428,2.012,-508301.0,-1240562.0,,0.8428,,65666.0,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:51:06.425028+00:00,BUY NO (DOWN),NO,-23.99,0.8753,2.304,387004.0,-1103344.0,,0.8753,,65664.01,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:55:15.189212+00:00,BUY NO (DOWN),NO,-21.99,0.9725,3.837,-119293.0,970057.0,,0.9725,,65670.01,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:55:33.378783+00:00,BUY NO (DOWN),NO,-26.0,0.9928,4.898,-275431.0,198180.0,,0.9928,,65666.0,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:58:39.015745+00:00,BUY NO (DOWN),NO,-29.27,1.0,21.813,-220355.0,-1015890.0,,1.0,,65663.89,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T14:59:02.257689+00:00,BUY NO (DOWN),NO,-24.56,1.0,26.819,-239599.0,-979623.0,,1.0,,65667.44,KXBTC15M-26JUN160930-30,2026-06-16T14:45:00+00:00,2026-06-16T15:00:00+00:00
2026-06-16T15:48:00.748680+00:00,BUY NO (DOWN),NO,-53.99,0.9217,2.833,132561.0,-3156789.0,0.6699999999999999,0.9217,,65786.76,KXBTC15M-26JUN161200-00,2026-06-16T15:45:00+00:00,2026-06-16T16:00:00+00:00
2026-06-16T15:50:08.009928+00:00,BUY NO (DOWN),NO,-25.71,0.8054,1.722,-61401.0,-3059630.0,0.5700000000000001,0.8054,,65812.36,KXBTC15M-26JUN161200-00,2026-06-16T15:45:00+00:00,2026-06-16T16:00:00+00:00
2026-06-16T16:07:03.905091+00:00,BUY NO (DOWN),NO,-33.75,0.9972,5.541,-362185.0,-495874.0,0.7,0.9972,,65826.01,KXBTC15M-26JUN161215-15,2026-06-16T16:00:00+00:00,2026-06-16T16:15:00+00:00
2026-06-16T16:08:08.935499+00:00,BUY NO (DOWN),NO,-31.75,0.9986,5.973,-166307.0,-710948.0,0.77,0.9986,,65828.01,KXBTC15M-26JUN161215-15,2026-06-16T16:00:00+00:00,2026-06-16T16:15:00+00:00
2026-06-16T16:08:53.532241+00:00,BUY NO (DOWN),NO,-28.89,0.9991,6.224,-115980.0,-822748.0,0.77,0.9991,,65835.06,KXBTC15M-26JUN161215-15,2026-06-16T16:00:00+00:00,2026-06-16T16:15:00+00:00
2026-06-16T16:10:06.631465+00:00,BUY NO (DOWN),NO,-21.76,0.9995,6.63,-232186.0,-961189.0,0.83,0.9995,,65837.99,KXBTC15M-26JUN161215-15,2026-06-16T16:00:00+00:00,2026-06-16T16:15:00+00:00
2026-06-16T16:19:52.984171+00:00,BUY NO (DOWN),NO,-26.0,0.9571,3.436,-217965.0,-289803.0,0.62,0.9571,,65750.01,KXBTC15M-26JUN161230-30,2026-06-16T16:15:00+00:00,2026-06-16T16:30:00+00:00
2026-06-16T16:26:49.046991+00:00,BUY NO (DOWN),NO,-23.06,1.0,9.679,-185232.0,-539542.0,0.85,1.0,,65752.01,KXBTC15M-26JUN161230-30,2026-06-16T16:15:00+00:00,2026-06-16T16:30:00+00:00
2026-06-16T16:27:11.709519+00:00,BUY NO (DOWN),NO,-27.59,1.0,13.432,-224067.0,-513922.0,0.87,1.0,,65748.43,KXBTC15M-26JUN161230-30,2026-06-16T16:15:00+00:00,2026-06-16T16:30:00+00:00
2026-06-16T16:33:05.097611+00:00,BUY NO (DOWN),NO,-53.99,0.9991,6.218,-34365.0,-67642.0,0.63,0.9991,,65726.72,KXBTC15M-26JUN161245-45,2026-06-16T16:30:00+00:00,2026-06-16T16:45:00+00:00
2026-06-16T16:36:06.666620+00:00,BUY NO (DOWN),NO,-20.0,0.9375,3.069,68459.0,-466640.0,0.52,0.9375,,65766.01,KXBTC15M-26JUN161245-45,2026-06-16T16:30:00+00:00,2026-06-16T16:45:00+00:00
2026-06-16T16:36:20.690892+00:00,BUY NO (DOWN),NO,-20.0,0.9603,3.509,99584.0,-361881.0,0.53,0.9603,,65766.01,KXBTC15M-26JUN161245-45,2026-06-16T16:30:00+00:00,2026-06-16T16:45:00+00:00
2026-06-16T16:36:25.205359+00:00,BUY NO (DOWN),NO,-22.0,0.9744,3.899,70875.0,-353194.0,0.53,0.9744,,65762.01,KXBTC15M-26JUN161245-45,2026-06-16T16:30:00+00:00,2026-06-16T16:45:00+00:00
2026-06-16T16:36:48.123733+00:00,BUY NO (DOWN),NO,-21.99,0.9788,4.06,59158.0,-327981.0,0.52,0.9788,,65740.01,KXBTC15M-26JUN161245-45,2026-06-16T16:30:00+00:00,2026-06-16T16:45:00+00:00
2026-06-16T16:48:01.026081+00:00,BUY NO (DOWN),NO,-38.94,0.9884,4.537,-32358.0,-481786.0,0.65,0.9884,,65777.06,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:54:21.593120+00:00,BUY NO (DOWN),NO,-100.0,1.0,30.414,-108852.0,-273435.0,0.942,1.0,,65718.0,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:55:18.191616+00:00,BUY NO (DOWN),NO,-65.99,1.0,16.932,299211.0,49100.0,0.9,1.0,,65746.01,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:57:11.558347+00:00,BUY NO (DOWN),NO,-36.52,1.0,13.533,85497.0,-102372.0,0.9339999999999999,1.0,,65776.01,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:57:29.165156+00:00,BUY NO (DOWN),NO,-48.0,1.0,20.988,586215.0,496712.0,0.9339999999999999,1.0,,65768.0,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:57:59.068422+00:00,BUY NO (DOWN),NO,-40.01,1.0,21.274,643268.0,442374.0,0.949,1.0,,65776.55,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T16:58:16.071352+00:00,BUY NO (DOWN),NO,-32.01,1.0,19.654,-78837.0,483640.0,0.943,1.0,,65780.0,KXBTC15M-26JUN161300-00,2026-06-16T16:45:00+00:00,2026-06-16T17:00:00+00:00
2026-06-16T17:05:16.869788+00:00,BUY NO (DOWN),NO,-21.99,0.9356,3.038,-138959.0,-391914.0,0.63,0.9356,,65744.01,KXBTC15M-26JUN161315-15,2026-06-16T17:00:00+00:00,2026-06-16T17:15:00+00:00
2026-06-16T17:06:04.538072+00:00,BUY NO (DOWN),NO,-24.48,0.963,3.572,-49832.0,-473346.0,0.6799999999999999,0.963,,65741.52,KXBTC15M-26JUN161315-15,2026-06-16T17:00:00+00:00,2026-06-16T17:15:00+00:00
2026-06-16T17:19:44.405334+00:00,BUY NO (DOWN),NO,-22.2,0.9092,2.672,-623138.0,-885129.0,0.6,0.9092,,65769.83,KXBTC15M-26JUN161330-30,2026-06-16T17:15:00+00:00,2026-06-16T17:30:00+00:00
2026-06-16T17:21:03.438749+00:00,BUY NO (DOWN),NO,-29.7,0.9621,3.551,-174189.0,-565325.0,0.5800000000000001,0.9621,,65762.3,KXBTC15M-26JUN161330-30,2026-06-16T17:15:00+00:00,2026-06-16T17:30:00+00:00
2026-06-16T17:26:18.786978+00:00,BUY NO (DOWN),NO,-20.0,0.9996,6.714,-174642.0,117477.0,0.74,0.9996,,65772.01,KXBTC15M-26JUN161330-30,2026-06-16T17:15:00+00:00,2026-06-16T17:30:00+00:00
2026-06-16T18:18:14.311673+00:00,BUY NO (DOWN),NO,-28.01,0.7838,1.57,506206.0,-168180.0,0.55,0.7838,,66108.0,KXBTC15M-26JUN161430-30,2026-06-16T18:15:00+00:00,2026-06-16T18:30:00+00:00
2026-06-16T18:22:57.078080+00:00,BUY NO (DOWN),NO,-182.67,1.0,24.835,-41542.0,1111461.0,0.95,1.0,,65953.32,KXBTC15M-26JUN161430-30,2026-06-16T18:15:00+00:00,2026-06-16T18:30:00+00:00
2026-06-16T18:23:30.881921+00:00,BUY NO (DOWN),NO,-167.98,1.0,24.948,60483.0,1150226.0,0.946,1.0,,65968.02,KXBTC15M-26JUN161430-30,2026-06-16T18:15:00+00:00,2026-06-16T18:30:00+00:00
2026-06-16T18:35:16.446533+00:00,BUY NO (DOWN),NO,-24.22,0.9656,3.641,-80485.0,498074.0,0.52,0.9656,,65887.28,KXBTC15M-26JUN161445-45,2026-06-16T18:30:00+00:00,2026-06-16T18:45:00+00:00
2026-06-16T18:36:26.032108+00:00,BUY NO (DOWN),NO,-23.48,0.9934,4.951,261842.0,757922.0,0.5800000000000001,0.9934,,65880.0,KXBTC15M-26JUN161445-45,2026-06-16T18:30:00+00:00,2026-06-16T18:45:00+00:00
2026-06-16T18:41:06.850726+00:00,BUY NO (DOWN),NO,-77.49,1.0,23.326,-309807.0,-584780.0,0.938,1.0,,65833.99,KXBTC15M-26JUN161445-45,2026-06-16T18:30:00+00:00,2026-06-16T18:45:00+00:00
2026-06-16T19:03:00.992988+00:00,BUY NO (DOWN),NO,-145.51,1.0,9.735,-314850.0,-135002.0,0.89,1.0,,65692.5,KXBTC15M-26JUN161515-15,2026-06-16T19:00:00+00:00,2026-06-16T19:15:00+00:00
2026-06-16T19:07:47.205875+00:00,BUY NO (DOWN),NO,-127.07,1.0,26.479,895042.0,1399654.0,0.942,1.0,,65710.94,KXBTC15M-26JUN161515-15,2026-06-16T19:00:00+00:00,2026-06-16T19:15:00+00:00
2026-06-16T19:18:10.835422+00:00,BUY NO (DOWN),NO,-40.17,0.9784,4.042,260382.0,-431935.0,0.75,0.9784,,65610.13,KXBTC15M-26JUN161530-30,2026-06-16T19:15:00+00:00,2026-06-16T19:30:00+00:00
2026-06-16T19:34:50.228524+00:00,BUY NO (DOWN),NO,-20.0,0.8624,2.183,-182509.0,79528.0,0.5700000000000001,0.8624,,65696.0,KXBTC15M-26JUN161545-45,2026-06-16T19:30:00+00:00,2026-06-16T19:45:00+00:00
