id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
1,2026-06-16T15:48:00.694128+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO (EV=+0.227 pc=0.82),-53.99,0.17769999999999997,0.17769999999999997,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:10.937881+00:00,f2_caley
2,2026-06-16T15:48:00.710832+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO (EV=+0.490 pc=1.00),-53.99,0.0014659999999999673,0.0014659999999999673,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:34.997936+00:00,f4_ml_ev
3,2026-06-16T15:48:00.711318+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO,-53.99,0.785879065653361,0.785879065653361,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:21.881441+00:00,live_today
4,2026-06-16T15:48:00.717006+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO,-53.99,0.785879065653361,0.785879065653361,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:26.630704+00:00,live_yest
5,2026-06-16T15:48:00.717415+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO,-53.99,0.785879065653361,0.785879065653361,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:31.610194+00:00,s_third
6,2026-06-16T15:48:00.728978+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO,-53.99,0.7368822544948888,0.7368822544948888,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:40.077998+00:00,f1_d50cap75
7,2026-06-16T15:48:00.729460+00:00,NO,0.6699999999999999,10.0,14.8,1701.0,BUY NO,-53.99,1.0,1.0,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-10.0,LOSS,UP,2026-06-16T20:25:07.938704+00:00,s1
8,2026-06-16T15:48:03.266310+00:00,NO,0.6699999999999999,100.0,148.03,1701.0,BUY NO,-68.0,0.8417233979979712,0.8417233979979712,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:13.865026+00:00,f5_hourofi
9,2026-06-16T15:49:30.650816+00:00,NO,0.6799999999999999,100.0,145.88,3079.0,BUY NO,-41.42,0.7563154427849657,0.7563154427849657,2026-06-16T15:45:00+00:00,KXBTC15M-26JUN161200-00,-100.0,LOSS,UP,2026-06-16T20:25:18.189660+00:00,f6_wait270
10,2026-06-16T16:03:00.132181+00:00,YES,0.53,100.0,187.13,1512.0,BUY YES (EV=+0.552 pc=0.82),40.26,0.8223,0.8223,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:10.509196+00:00,f2_caley
11,2026-06-16T16:03:00.140866+00:00,YES,0.53,100.0,187.13,1512.0,BUY YES (EV=+0.785 pc=0.95),40.26,0.945946,0.945946,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:34.830694+00:00,f4_ml_ev
12,2026-06-16T16:03:00.141528+00:00,YES,0.53,100.0,187.13,1512.0,BUY YES,40.26,0.7221742724623763,0.7221742724623763,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:21.646259+00:00,live_today
13,2026-06-16T16:03:00.142004+00:00,YES,0.53,100.0,187.13,1512.0,BUY YES,40.26,0.7221742724623763,0.7221742724623763,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:26.335206+00:00,live_yest
14,2026-06-16T16:03:00.142337+00:00,YES,0.53,100.0,187.13,1512.0,BUY YES,40.26,0.7221742724623763,0.7221742724623763,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:31.374618+00:00,s_third
15,2026-06-16T16:03:06.557781+00:00,YES,0.54,100.0,183.64,2881.0,BUY YES,58.23,0.8050349846538952,0.8050349846538952,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:13.702492+00:00,f5_hourofi
16,2026-06-16T16:03:06.558389+00:00,YES,0.54,100.0,183.64,2881.0,BUY YES,58.23,0.8284106415829255,0.8284106415829255,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:39.723886+00:00,f1_d50cap75
17,2026-06-16T16:04:32.876695+00:00,YES,0.57,100.0,173.94,2878.0,BUY YES,45.72,0.7787987066090094,0.7787987066090094,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,-100.0,LOSS,DOWN,2026-06-16T20:25:17.898830+00:00,f6_wait270
18,2026-06-16T16:07:03.851650+00:00,NO,0.7,10.0,14.18,1785.0,BUY NO,-33.75,1.0,1.0,2026-06-16T16:00:00+00:00,KXBTC15M-26JUN161215-15,4.18,WIN,DOWN,2026-06-16T20:25:07.796122+00:00,s1
19,2026-06-16T16:18:01.254147+00:00,YES,0.51,100.0,194.52,991.0,BUY YES (EV=+0.612 pc=0.82),27.55,0.8223,0.8223,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:10.370441+00:00,f2_caley
20,2026-06-16T16:18:01.293384+00:00,YES,0.51,100.0,194.52,991.0,BUY YES (EV=+0.958 pc=1.00),27.55,0.998534,0.998534,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:34.357162+00:00,f4_ml_ev
21,2026-06-16T16:18:01.294868+00:00,YES,0.51,100.0,194.52,991.0,BUY YES,27.55,0.6821851577476795,0.6821851577476795,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:13.425210+00:00,f5_hourofi
22,2026-06-16T16:18:01.295416+00:00,YES,0.51,100.0,194.52,991.0,BUY YES,27.55,0.6821851577476795,0.6821851577476795,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:25.952159+00:00,live_yest
23,2026-06-16T16:18:01.296901+00:00,YES,0.51,100.0,194.52,991.0,BUY YES,27.55,0.6821851577476795,0.6821851577476795,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:30.819805+00:00,s_third
24,2026-06-16T16:18:37.667806+00:00,YES,0.52,100.0,190.75,3731.0,BUY YES,31.98,0.7188131211285439,0.7188131211285439,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,-100.0,LOSS,DOWN,2026-06-16T20:25:21.394317+00:00,live_today
25,2026-06-16T16:19:52.741599+00:00,NO,0.62,100.0,159.9,13783.0,BUY NO,-26.0,0.7018258704394263,0.7018258704394263,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,59.9,WIN,DOWN,2026-06-16T20:25:17.635917+00:00,f6_wait270
26,2026-06-16T16:19:52.742375+00:00,NO,0.62,10.0,15.99,13783.0,BUY NO,-26.0,1.0,1.0,2026-06-16T16:15:00+00:00,KXBTC15M-26JUN161230-30,5.99,WIN,DOWN,2026-06-16T20:25:07.638799+00:00,s1
27,2026-06-16T16:33:04.984816+00:00,NO,0.63,100.0,157.37,2077.0,BUY NO (EV=+0.305 pc=0.82),-53.99,0.17769999999999997,0.17769999999999997,2026-06-16T16:30:00+00:00,KXBTC15M-26JUN161245-45,-100.0,LOSS,UP,2026-06-16T20:25:10.194795+00:00,f2_caley
28,2026-06-16T16:33:05.082680+00:00,NO,0.63,100.0,157.37,2077.0,BUY NO (EV=+0.331 pc=0.84),-53.99,0.16129000000000004,0.16129000000000004,2026-06-16T16:30:00+00:00,KXBTC15M-26JUN161245-45,-100.0,LOSS,UP,2026-06-16T20:25:34.141287+00:00,f4_ml_ev
29,2026-06-16T16:33:05.083263+00:00,NO,0.63,100.0,157.37,2077.0,BUY NO,-53.99,0.8965990508207282,0.8965990508207282,2026-06-16T16:30:00+00:00,KXBTC15M-26JUN161245-45,-100.0,LOSS,UP,2026-06-16T20:25:13.163165+00:00,f5_hourofi
30,2026-06-16T16:33:05.084766+00:00,NO,0.63,100.0,157.37,2077.0,BUY NO,-53.99,0.8965990508207282,0.8965990508207282,2026-06-16T16:30:00+00:00,KXBTC15M-26JUN161245-45,-100.0,LOSS,UP,2026-06-16T20:25:21.222909+00:00,live_today
31,2026-06-16T16:33:05.085141+00:00,NO,0.63,100.0,157.37,2077.0,BUY NO,-53.99,0.8965990508207282,0.8965990508207282,2026-06-16T16:30:00+00:00,KXBTC15M-26JUN161245-45,-100.0,LOSS,UP,2026-06-16T20:25:25.724147+00:00,live_yest
