ts,signal,side,delta,p_model,snr,ofi_1min,ofi_5min,entry_price,confidence,chainlink_price,binance_price,market_slug,window_start,window_end
2026-05-07T11:19:05.964057+00:00,BUY NO (DOWN),NO,-25.89,1.0,36.51,62723.0,-1024955.0,0.84,1.0,80909.706725,80923.07,btc-updown-5m-1778152500,2026-05-07T11:15:00+00:00,2026-05-07T11:20:00+00:00
2026-05-07T11:28:01.439595+00:00,BUY NO (DOWN),NO,-63.0,1.0,52.618,110046.0,45745.0,0.92,1.0,80916.25909502954,80928.96,btc-updown-5m-1778153100,2026-05-07T11:25:00+00:00,2026-05-07T11:30:00+00:00
2026-05-07T11:38:00.678669+00:00,BUY NO (DOWN),NO,-27.25,1.0,24.62,579.0,135072.0,0.76,1.0,80929.36604155066,80937.28,btc-updown-5m-1778153700,2026-05-07T11:35:00+00:00,2026-05-07T11:40:00+00:00
2026-05-07T11:48:01.700297+00:00,BUY NO (DOWN),NO,-28.84,1.0,44.836,-97579.0,-323080.0,0.87,1.0,80941.17186498293,80955.16,btc-updown-5m-1778154300,2026-05-07T11:45:00+00:00,2026-05-07T11:50:00+00:00
2026-05-07T11:53:00.412632+00:00,BUY NO (DOWN),NO,-41.9,1.0,20.439,41162.0,-454503.0,0.84,1.0,80816.659005,80822.63,btc-updown-5m-1778154600,2026-05-07T11:50:00+00:00,2026-05-07T11:55:00+00:00
2026-05-07T11:54:02.967749+00:00,BUY NO (DOWN),NO,-38.89,1.0,38.575,84328.0,-251054.0,0.94,1.0,80806.3703654808,80837.31,btc-updown-5m-1778154600,2026-05-07T11:50:00+00:00,2026-05-07T11:55:00+00:00
2026-05-07T12:08:00.697689+00:00,BUY NO (DOWN),NO,-45.91,1.0,27.096,-56805.0,875988.0,0.92,1.0,80921.94564967098,80930.03,btc-updown-5m-1778155500,2026-05-07T12:05:00+00:00,2026-05-07T12:10:00+00:00
2026-05-07T12:18:00.163921+00:00,BUY NO (DOWN),NO,-74.11,1.0,42.644,-192325.0,1357054.0,0.95,1.0,81004.68283136956,81008.12,btc-updown-5m-1778156100,2026-05-07T12:15:00+00:00,2026-05-07T12:20:00+00:00
2026-05-07T12:18:15.182809+00:00,BUY NO (DOWN),NO,-66.95,1.0,44.219,-22832.0,1179487.0,0.94,1.0,81007.86859579539,81015.27,btc-updown-5m-1778156100,2026-05-07T12:15:00+00:00,2026-05-07T12:20:00+00:00
2026-05-07T12:18:29.704202+00:00,BUY NO (DOWN),NO,-24.62,1.0,17.05,571503.0,686426.0,0.93,1.0,81011.58007,81064.72,btc-updown-5m-1778156100,2026-05-07T12:15:00+00:00,2026-05-07T12:20:00+00:00
2026-05-07T12:18:33.935658+00:00,BUY NO (DOWN),NO,-21.27,1.0,15.379,581978.0,730929.0,0.78,1.0,81056.31296187715,81059.99,btc-updown-5m-1778156100,2026-05-07T12:15:00+00:00,2026-05-07T12:20:00+00:00
2026-05-07T12:38:00.938560+00:00,BUY NO (DOWN),NO,-28.0,1.0,21.762,-30331.0,39846.0,0.76,1.0,81009.97096289093,81014.0,btc-updown-5m-1778157300,2026-05-07T12:35:00+00:00,2026-05-07T12:40:00+00:00
2026-05-07T12:43:00.168120+00:00,BUY NO (DOWN),NO,-20.0,1.0,18.614,-165114.0,38493.0,0.75,1.0,81030.94192819105,81040.0,btc-updown-5m-1778157600,2026-05-07T12:40:00+00:00,2026-05-07T12:45:00+00:00
2026-05-07T12:48:00.461902+00:00,BUY NO (DOWN),NO,-32.38,1.0,24.01,-143734.0,1225311.0,0.85,1.0,81030.7227826243,81028.32,btc-updown-5m-1778157900,2026-05-07T12:45:00+00:00,2026-05-07T12:50:00+00:00
2026-05-07T12:49:14.946405+00:00,BUY NO (DOWN),NO,-36.9,1.0,70.348,-172384.0,1050849.0,0.95,1.0,81019.744395,81032.66,btc-updown-5m-1778157900,2026-05-07T12:45:00+00:00,2026-05-07T12:50:00+00:00
2026-05-07T12:49:29.458600+00:00,BUY NO (DOWN),NO,-35.57,1.0,100.086,17350.0,1043264.0,0.93,1.0,81026.63478900504,81041.15,btc-updown-5m-1778157900,2026-05-07T12:45:00+00:00,2026-05-07T12:50:00+00:00
2026-05-07T12:58:01.179990+00:00,BUY NO (DOWN),NO,-29.39,1.0,20.606,163564.0,392491.0,0.79,1.0,81132.54657617559,81131.46,btc-updown-5m-1778158500,2026-05-07T12:55:00+00:00,2026-05-07T13:00:00+00:00
2026-05-07T13:03:12.459444+00:00,BUY NO (DOWN),NO,-27.15,1.0,13.973,-69948.0,1076699.0,0.79,1.0,81137.44586554919,81134.85,btc-updown-5m-1778158800,2026-05-07T13:00:00+00:00,2026-05-07T13:05:00+00:00
2026-05-07T13:03:53.441295+00:00,BUY NO (DOWN),NO,-40.82,1.0,34.402,56773.0,866751.0,0.94,1.0,81117.75708783416,81121.19,btc-updown-5m-1778158800,2026-05-07T13:00:00+00:00,2026-05-07T13:05:00+00:00
2026-05-07T13:13:15.673391+00:00,BUY NO (DOWN),NO,-22.21,1.0,22.022,-350113.0,79768.0,0.73,1.0,81000.79768878061,80992.55,btc-updown-5m-1778159400,2026-05-07T13:10:00+00:00,2026-05-07T13:15:00+00:00
2026-05-07T13:38:02.452029+00:00,BUY NO (DOWN),NO,-78.62,1.0,19.213,-226794.0,-1131331.0,0.83,1.0,80745.84661628943,80742.9,btc-updown-5m-1778160900,2026-05-07T13:35:00+00:00,2026-05-07T13:40:00+00:00
2026-05-07T13:38:54.697732+00:00,BUY NO (DOWN),NO,-80.55,1.0,33.654,-335924.0,-1238645.0,0.94,1.0,80739.52360356544,80747.96,btc-updown-5m-1778160900,2026-05-07T13:35:00+00:00,2026-05-07T13:40:00+00:00
2026-05-07T13:38:58.962862+00:00,BUY NO (DOWN),NO,-80.55,1.0,35.715,-324984.0,-1239912.0,0.95,1.0,80733.29986024846,80737.39,btc-updown-5m-1778160900,2026-05-07T13:35:00+00:00,2026-05-07T13:40:00+00:00
2026-05-07T13:43:01.451608+00:00,BUY NO (DOWN),NO,-23.94,0.9972,5.535,8237.0,-2389620.0,0.69,0.9972,80654.88719581082,80650.0,btc-updown-5m-1778161200,2026-05-07T13:40:00+00:00,2026-05-07T13:45:00+00:00
2026-05-07T13:43:42.939759+00:00,BUY NO (DOWN),NO,-27.61,1.0,10.0,-711866.0,-2556921.0,0.85,1.0,80659.87405,80656.33,btc-updown-5m-1778161200,2026-05-07T13:40:00+00:00,2026-05-07T13:45:00+00:00
2026-05-07T13:44:23.694048+00:00,BUY NO (DOWN),NO,-43.91,1.0,38.505,-687434.0,-2412270.0,0.94,1.0,80633.2850429127,80640.03,btc-updown-5m-1778161200,2026-05-07T13:40:00+00:00,2026-05-07T13:45:00+00:00
2026-05-07T13:48:05.920182+00:00,BUY NO (DOWN),NO,-189.36,1.0,36.056,-619873.0,804632.0,0.94,1.0,80395.19788548755,80379.81,btc-updown-5m-1778161500,2026-05-07T13:45:00+00:00,2026-05-07T13:50:00+00:00
2026-05-07T13:48:18.207257+00:00,BUY NO (DOWN),NO,-176.99,1.0,37.088,-953663.0,1071249.0,0.89,1.0,80392.13170344733,80429.99,btc-updown-5m-1778161500,2026-05-07T13:45:00+00:00,2026-05-07T13:50:00+00:00
2026-05-07T14:04:22.673056+00:00,BUY NO (DOWN),NO,-21.4,1.0,17.691,-310223.0,-411982.0,0.79,1.0,80466.05691247148,80451.0,btc-updown-5m-1778162400,2026-05-07T14:00:00+00:00,2026-05-07T14:05:00+00:00
2026-05-07T14:23:13.195299+00:00,BUY NO (DOWN),NO,-30.33,1.0,12.086,-833661.0,-4847719.0,0.7,1.0,80428.15910365313,80430.95,btc-updown-5m-1778163600,2026-05-07T14:20:00+00:00,2026-05-07T14:25:00+00:00
2026-05-07T14:28:00.164297+00:00,BUY NO (DOWN),NO,-37.41,1.0,16.786,122063.0,-6175073.0,0.77,1.0,80479.7220059572,80479.99,btc-updown-5m-1778163900,2026-05-07T14:25:00+00:00,2026-05-07T14:30:00+00:00
2026-05-07T14:28:42.169442+00:00,BUY NO (DOWN),NO,-56.12,1.0,22.866,-843706.0,-6232605.0,0.71,1.0,80543.56849707013,80459.01,btc-updown-5m-1778163900,2026-05-07T14:25:00+00:00,2026-05-07T14:30:00+00:00
2026-05-07T14:33:00.214773+00:00,BUY NO (DOWN),NO,-150.75,1.0,25.323,-747802.0,-5944760.0,0.88,1.0,80265.40003276063,80273.78,btc-updown-5m-1778164200,2026-05-07T14:30:00+00:00,2026-05-07T14:35:00+00:00
2026-05-07T14:33:32.462308+00:00,BUY NO (DOWN),NO,-196.04,1.0,44.917,-1230314.0,-7370114.0,0.91,1.0,80235.10963806818,80228.49,btc-updown-5m-1778164200,2026-05-07T14:30:00+00:00,2026-05-07T14:35:00+00:00
2026-05-07T14:38:00.194020+00:00,BUY NO (DOWN),NO,-87.82,1.0,25.368,-810937.0,-2331962.0,0.68,1.0,80120.61534335416,80111.0,btc-updown-5m-1778164500,2026-05-07T14:35:00+00:00,2026-05-07T14:40:00+00:00
2026-05-07T14:58:00.962717+00:00,BUY NO (DOWN),NO,-84.48,1.0,39.957,-592386.0,-171207.0,0.94,1.0,80178.54304989729,80188.49,btc-updown-5m-1778165700,2026-05-07T14:55:00+00:00,2026-05-07T15:00:00+00:00
2026-05-07T14:58:10.707081+00:00,BUY NO (DOWN),NO,-84.98,1.0,43.596,-509877.0,-203207.0,0.93,1.0,80177.76508923515,80188.0,btc-updown-5m-1778165700,2026-05-07T14:55:00+00:00,2026-05-07T15:00:00+00:00
