window_start,window_end,market_slug,open_price,close_price,token_ids
2026-05-07T10:45:00+00:00,2026-05-07T10:50:00+00:00,btc-updown-5m-1778150700,,,"[""8257916604756234434524254126611964041494018058019311497187051324185561394994"", ""33665161422041883336383052272409131388774485618378637092812161378829124925618""]"
2026-05-07T10:50:00+00:00,2026-05-07T10:55:00+00:00,btc-updown-5m-1778151000,80827.09,,"[""106120452966202315903300280411777972692824493204049615402177846575611973394864"", ""46073640719197764927024297363082245324478297654648153018250370429302269617648""]"
2026-05-07T10:55:00+00:00,2026-05-07T11:00:00+00:00,btc-updown-5m-1778151300,80844.45,,"[""112829845535994855290230230795637948361805951703871189165721616957783959219849"", ""38274908202413988064559890126405101059844273671605210334735558882427587245206""]"
2026-05-07T11:00:00+00:00,2026-05-07T11:05:00+00:00,btc-updown-5m-1778151600,80860.62,,"[""87313981278528274345938701518184938335054961210373862373268206985233890918566"", ""341356617521562835824226604750177787731418149704319161719090869493331251866""]"
2026-05-07T11:05:00+00:00,2026-05-07T11:10:00+00:00,btc-updown-5m-1778151900,80965.3,,"[""7958080164280635780701860555396304258977314268748305083601575449745582034108"", ""89135541538690228389598794124579735177786903389855393856125901218464633395765""]"
2026-05-07T11:10:00+00:00,2026-05-07T11:15:00+00:00,btc-updown-5m-1778152200,80986.73,,"[""65174665677259336356344770100929075812737910109505649081173911123053745025910"", ""80848483925575416882059440687977306375870430614685436830509166696048716228414""]"
2026-05-07T11:15:00+00:00,2026-05-07T11:20:00+00:00,btc-updown-5m-1778152500,80948.95,,"[""43290143628211501012662870865758928248619705193055093403987912293412672509935"", ""111789863595175862915041404263675167025681522560311225823425170285333143450117""]"
2026-05-07T11:20:00+00:00,2026-05-07T11:25:00+00:00,btc-updown-5m-1778152800,80901.08,,"[""101895771789705672107779775909292419123011706129597167874621105780488973175801"", ""93722240820116322310421372914086623469222276712327199369572598236818565067056""]"
2026-05-07T11:25:00+00:00,2026-05-07T11:30:00+00:00,btc-updown-5m-1778153100,80991.97,,"[""45806421182818116931768170113154938751807536755745999103175488450025982470855"", ""45596749946407010216186183381797161549756177621296992404412340315767438921765""]"
2026-05-07T11:30:00+00:00,2026-05-07T11:35:00+00:00,btc-updown-5m-1778153400,80896.88,,"[""67173398009143116795107558680274193960818794302066182344965243861440224984927"", ""18621267189212633333753990591968764376472586824385574349814497319345739816047""]"
