id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
2,2026-05-07T11:19:05.962424+00:00,NO,0.84,100.0,118.6,86.0,BUY NO,-25.89,0.646541063238133,0.646541063238133,2026-05-07T11:15:00+00:00,btc-updown-5m-1778152500,18.6,WIN,DOWN,2026-05-07T11:22:13.672987+00:00,s_third
3,2026-05-07T11:23:00.206250+00:00,YES,0.9,100.0,110.91,662.0,BUY YES,42.86,0.6105422078367468,0.6105422078367468,2026-05-07T11:20:00+00:00,btc-updown-5m-1778152800,10.91,WIN,UP,2026-05-07T11:27:31.163707+00:00,s_third
5,2026-05-07T11:28:01.435965+00:00,NO,0.92,100.0,108.56,844.0,BUY NO,-63.0,0.6616623050194845,0.6616623050194845,2026-05-07T11:25:00+00:00,btc-updown-5m-1778153100,8.56,WIN,DOWN,2026-05-07T11:32:58.170727+00:00,s_third
6,2026-05-07T11:33:00.912669+00:00,YES,0.88,100.0,113.36,625.0,BUY YES,38.98,0.6013560949688608,0.6013560949688608,2026-05-07T11:30:00+00:00,btc-updown-5m-1778153400,13.36,WIN,UP,2026-05-07T11:37:51.412436+00:00,s_third
8,2026-05-07T11:38:07.187284+00:00,NO,0.76,100.0,130.75,933.0,BUY NO,-27.25,0.6010613719146729,0.6010613719146729,2026-05-07T11:35:00+00:00,btc-updown-5m-1778153700,-100.0,LOSS,UP,2026-05-07T11:42:36.692137+00:00,s_third
10,2026-05-07T11:48:01.699004+00:00,NO,0.87,100.0,114.62,300.0,BUY NO,-28.84,0.6417479173015548,0.6417479173015548,2026-05-07T11:45:00+00:00,btc-updown-5m-1778154300,14.62,WIN,DOWN,2026-05-07T11:53:13.454973+00:00,s_third
12,2026-05-07T11:53:00.411402+00:00,NO,0.84,100.0,118.6,835.0,BUY NO,-41.9,0.6264134800815305,0.6264134800815305,2026-05-07T11:50:00+00:00,btc-updown-5m-1778154600,18.6,WIN,DOWN,2026-05-07T11:58:03.715249+00:00,s_third
13,2026-05-07T12:03:00.913459+00:00,YES,0.89,100.0,112.12,503.0,BUY YES,43.34,0.6309967404367877,0.6309967404367877,2026-05-07T12:00:00+00:00,btc-updown-5m-1778155200,12.12,WIN,UP,2026-05-07T12:07:46.934919+00:00,s_third
15,2026-05-07T12:08:00.696066+00:00,NO,0.92,100.0,108.56,673.0,BUY NO,-45.91,0.6381770231128323,0.6381770231128323,2026-05-07T12:05:00+00:00,btc-updown-5m-1778155500,8.56,WIN,DOWN,2026-05-07T12:13:22.927803+00:00,s_third
17,2026-05-07T12:18:00.162712+00:00,NO,0.95,100.0,105.21,326.0,BUY NO,-74.11,0.7148797161347556,0.7148797161347556,2026-05-07T12:15:00+00:00,btc-updown-5m-1778156100,5.21,WIN,DOWN,2026-05-07T12:26:33.674388+00:00,s_third
18,2026-05-07T12:28:01.202116+00:00,YES,0.84,100.0,118.6,957.0,BUY YES,33.08,0.6038244388835292,0.6038244388835292,2026-05-07T12:25:00+00:00,btc-updown-5m-1778156700,18.6,WIN,UP,2026-05-07T12:36:53.947818+00:00,s_third
19,2026-05-07T12:33:50.939935+00:00,YES,0.78,100.0,127.47,471.0,BUY YES,22.55,0.6211616554789442,0.6211616554789442,2026-05-07T12:30:00+00:00,btc-updown-5m-1778157000,-100.0,LOSS,DOWN,2026-05-07T12:38:42.664941+00:00,s_third
21,2026-05-07T12:38:16.672080+00:00,NO,0.76,100.0,130.75,1121.0,BUY NO,-27.99,0.6010941658142576,0.6010941658142576,2026-05-07T12:35:00+00:00,btc-updown-5m-1778157300,-100.0,LOSS,UP,2026-05-07T12:43:33.415210+00:00,s_third
23,2026-05-07T12:43:20.170892+00:00,NO,0.84,100.0,118.6,9.0,BUY NO,-34.49,0.6280485023743912,0.6280485023743912,2026-05-07T12:40:00+00:00,btc-updown-5m-1778157600,-100.0,LOSS,UP,2026-05-07T12:49:05.170537+00:00,s_third
25,2026-05-07T12:48:00.451895+00:00,NO,0.85,100.0,117.24,12.0,BUY NO,-32.38,0.6010536033522409,0.6010536033522409,2026-05-07T12:45:00+00:00,btc-updown-5m-1778157900,17.24,WIN,DOWN,2026-05-07T12:53:55.949014+00:00,s_third
