ts,resolved_ts,side,entry_price,delta,p_model,pnl,outcome,window_start,sigma,dfo,snr,ofi1,ofi5,btc
2026-05-07T11:19:05.962424+00:00,2026-05-07T11:22:13.672987+00:00,NO,0.84,-25.89,0.646541063238133,18.6,DOWN,2026-05-07T11:15:00+00:00,,,36.51,62723.0,-1024955.0,80923.07
2026-05-07T11:23:00.206250+00:00,2026-05-07T11:27:31.163707+00:00,YES,0.9,42.86,0.6105422078367468,10.91,UP,2026-05-07T11:20:00+00:00,,,,,,
2026-05-07T11:28:01.435965+00:00,2026-05-07T11:32:58.170727+00:00,NO,0.92,-63.0,0.6616623050194845,8.56,DOWN,2026-05-07T11:25:00+00:00,,,52.618,110046.0,45745.0,80928.96
2026-05-07T11:33:00.912669+00:00,2026-05-07T11:37:51.412436+00:00,YES,0.88,38.98,0.6013560949688608,13.36,UP,2026-05-07T11:30:00+00:00,,,,,,
2026-05-07T11:38:07.187284+00:00,2026-05-07T11:42:36.692137+00:00,NO,0.76,-27.25,0.6010613719146729,-100.0,UP,2026-05-07T11:35:00+00:00,,,24.62,579.0,135072.0,80937.28
2026-05-07T11:48:01.699004+00:00,2026-05-07T11:53:13.454973+00:00,NO,0.87,-28.84,0.6417479173015548,14.62,DOWN,2026-05-07T11:45:00+00:00,,,44.836,-97579.0,-323080.0,80955.16
2026-05-07T11:53:00.411402+00:00,2026-05-07T11:58:03.715249+00:00,NO,0.84,-41.9,0.6264134800815305,18.6,DOWN,2026-05-07T11:50:00+00:00,,,20.439,62745.0,-352778.5,80829.97
2026-05-07T12:03:00.913459+00:00,2026-05-07T12:07:46.934919+00:00,YES,0.89,43.34,0.6309967404367877,12.12,UP,2026-05-07T12:00:00+00:00,,,,,,
2026-05-07T12:08:00.696066+00:00,2026-05-07T12:13:22.927803+00:00,NO,0.92,-45.91,0.6381770231128323,8.56,DOWN,2026-05-07T12:05:00+00:00,,,27.096,-56805.0,875988.0,80930.03
2026-05-07T12:18:00.162712+00:00,2026-05-07T12:26:33.674388+00:00,NO,0.95,-74.11,0.7148797161347556,5.21,DOWN,2026-05-07T12:15:00+00:00,,,15.379,234581.0,988474.0,81037.025
2026-05-07T12:28:01.202116+00:00,2026-05-07T12:36:53.947818+00:00,YES,0.84,33.08,0.6038244388835292,18.6,UP,2026-05-07T12:25:00+00:00,,,,,,
2026-05-07T12:33:50.939935+00:00,2026-05-07T12:38:42.664941+00:00,YES,0.78,22.55,0.6211616554789442,-100.0,DOWN,2026-05-07T12:30:00+00:00,,,,,,
2026-05-07T12:38:16.672080+00:00,2026-05-07T12:43:33.415210+00:00,NO,0.76,-27.99,0.6010941658142576,-100.0,UP,2026-05-07T12:35:00+00:00,,,21.762,-30331.0,39846.0,81014.0
2026-05-07T12:43:20.170892+00:00,2026-05-07T12:49:05.170537+00:00,NO,0.84,-34.49,0.6280485023743912,-100.0,UP,2026-05-07T12:40:00+00:00,,,18.614,-165114.0,38493.0,81040.0
2026-05-07T12:48:00.451895+00:00,2026-05-07T12:53:55.949014+00:00,NO,0.85,-32.38,0.6010536033522409,17.24,DOWN,2026-05-07T12:45:00+00:00,,,24.01,-99589.33333333333,1106474.6666666667,81034.04333333333
2026-05-07T12:53:01.214548+00:00,2026-05-07T12:58:55.933547+00:00,YES,0.94,56.16,0.6724066246234007,6.3,UP,2026-05-07T12:50:00+00:00,,,,,,
2026-05-07T12:58:01.178717+00:00,2026-05-07T13:03:46.912598+00:00,NO,0.79,-29.39,0.6558649844372928,-100.0,UP,2026-05-07T12:55:00+00:00,,,20.606,163564.0,392491.0,81131.46
2026-05-07T13:03:12.457648+00:00,2026-05-07T13:08:56.928531+00:00,NO,0.79,-27.15,0.6206917009329136,25.89,DOWN,2026-05-07T13:00:00+00:00,,,13.973,-6587.5,971725.0,81128.02
2026-05-07T13:13:15.670493+00:00,2026-05-07T13:20:01.165467+00:00,NO,0.73,-22.21,0.6024010354931876,36.02,DOWN,2026-05-07T13:10:00+00:00,,,22.022,-350113.0,79768.0,80992.55
2026-05-07T13:18:00.952597+00:00,2026-05-07T13:23:52.931597+00:00,YES,0.88,46.6,0.6444752992903007,13.36,UP,2026-05-07T13:15:00+00:00,,,,,,
2026-05-07T13:23:01.190207+00:00,2026-05-07T13:28:47.710156+00:00,YES,0.92,52.17,0.6608941839066016,8.56,UP,2026-05-07T13:20:00+00:00,,,,,,
2026-05-07T13:33:16.918525+00:00,2026-05-07T13:38:49.449089+00:00,NO,0.95,-115.99,0.7749307191704562,5.21,DOWN,2026-05-07T13:30:00+00:00,,,,,,
2026-05-07T13:38:02.449054+00:00,2026-05-07T13:44:48.705727+00:00,NO,0.83,-78.62,0.6733984044868581,19.98,DOWN,2026-05-07T13:35:00+00:00,,,19.213,-295900.6666666667,-1203296.0,80742.75
2026-05-07T13:43:11.451968+00:00,2026-05-07T13:48:33.175428+00:00,NO,0.82,-44.27,0.6081213027406881,21.41,DOWN,2026-05-07T13:40:00+00:00,,,5.535,-463687.6666666667,-2452937.0,80648.78666666667
2026-05-07T13:48:05.917762+00:00,2026-05-07T13:54:05.457248+00:00,NO,0.94,-189.36,0.7448708218972396,6.3,DOWN,2026-05-07T13:45:00+00:00,,,36.056,-786768.0,937940.5,80404.9
2026-05-07T13:53:17.445867+00:00,2026-05-07T13:59:44.664423+00:00,YES,0.95,145.34,0.7127973308951855,5.21,UP,2026-05-07T13:50:00+00:00,,,,,,
2026-05-07T14:03:53.415709+00:00,2026-05-07T14:10:01.417700+00:00,YES,0.61,47.6,0.6114502645125406,-100.0,DOWN,2026-05-07T14:00:00+00:00,,,17.691,-310223.0,-411982.0,80451.0
2026-05-07T14:09:04.937866+00:00,2026-05-07T14:14:57.666019+00:00,YES,0.58,41.39,0.6170824598311028,70.93,UP,2026-05-07T14:05:00+00:00,,,,,,
2026-05-07T14:24:04.192959+00:00,2026-05-07T14:30:09.439110+00:00,YES,0.7,33.33,0.6264106971116747,41.75,UP,2026-05-07T14:20:00+00:00,,,12.086,-833661.0,-4847719.0,80430.95
2026-05-07T14:28:42.166360+00:00,2026-05-07T14:35:01.165563+00:00,NO,0.71,-56.12,0.651480976219328,39.79,DOWN,2026-05-07T14:25:00+00:00,,,16.786,-360821.5,-6203839.0,80469.5
2026-05-07T14:33:00.213144+00:00,2026-05-07T14:40:23.209341+00:00,NO,0.88,-150.75,0.733407433324033,13.36,DOWN,2026-05-07T14:30:00+00:00,,,25.323,-989058.0,-6657437.0,80251.13500000001
2026-05-07T14:38:00.192430+00:00,2026-05-07T14:45:16.182519+00:00,NO,0.68,-87.82,0.6419568008261565,45.88,DOWN,2026-05-07T14:35:00+00:00,,,25.368,-810937.0,-2331962.0,80111.0
2026-05-07T14:44:13.446686+00:00,2026-05-07T14:50:19.440289+00:00,YES,0.89,24.14,0.6014324620902991,12.12,UP,2026-05-07T14:40:00+00:00,,,,,,
2026-05-07T14:48:07.441754+00:00,2026-05-07T14:55:17.969571+00:00,YES,0.81,58.15,0.6010426524334189,22.86,UP,2026-05-07T14:45:00+00:00,,,,,,
2026-05-07T14:53:13.917528+00:00,2026-05-07T15:00:45.927463+00:00,YES,0.86,54.29,0.6000299244753904,15.92,UP,2026-05-07T14:50:00+00:00,,,,,,
2026-05-07T14:58:00.950609+00:00,2026-05-07T15:05:40.168969+00:00,NO,0.94,-84.48,0.6374869163980474,6.3,DOWN,2026-05-07T14:55:00+00:00,,,39.957,-565376.0,-526947.75,80170.10500000001
2026-05-07T15:04:07.917835+00:00,2026-05-07T15:10:30.676382+00:00,NO,0.66,-21.37,0.6047638222943308,50.26,DOWN,2026-05-07T15:00:00+00:00,,,10.29,-3115.3333333333335,-1216192.6666666667,80146.90333333334
2026-05-07T15:08:13.218865+00:00,2026-05-07T15:15:34.961163+00:00,YES,0.83,48.11,0.6178772589518964,19.98,UP,2026-05-07T15:05:00+00:00,,,,,,
2026-05-07T15:13:00.704625+00:00,2026-05-07T15:20:52.210351+00:00,NO,0.79,-54.94,0.6302004061057401,25.89,DOWN,2026-05-07T15:10:00+00:00,,,20.78,151937.0,724033.0,80213.75
2026-05-07T15:18:05.932034+00:00,2026-05-07T15:25:50.464185+00:00,NO,0.77,-40.81,0.60199904117474,29.09,DOWN,2026-05-07T15:15:00+00:00,,,14.101,-922098.0,-1781697.0,80130.43
2026-05-07T15:23:01.676938+00:00,2026-05-07T15:30:49.682168+00:00,NO,0.91,-96.8,0.6470597152308089,9.72,DOWN,2026-05-07T15:20:00+00:00,,,19.763,-215692.5,-12608715.0,79871.45999999999
2026-05-07T15:28:21.702442+00:00,2026-05-07T15:36:01.915645+00:00,NO,0.67,-59.44,0.6018236356312943,-100.0,UP,2026-05-07T15:25:00+00:00,,,5.796,290986.6666666667,-2461509.3333333335,79801.73
2026-05-07T15:33:05.968684+00:00,2026-05-07T15:40:42.924457+00:00,YES,0.95,118.62,0.6710734057704708,5.21,UP,2026-05-07T15:30:00+00:00,,,,,,
2026-05-07T15:39:45.167766+00:00,2026-05-07T15:45:33.171419+00:00,NO,0.64,-42.59,0.8893254523111376,54.92,DOWN,2026-05-07T15:35:00+00:00,,,121.661,-1065643.0,632883.0,79949.38
2026-05-07T15:43:09.708839+00:00,2026-05-07T15:50:34.450279+00:00,YES,0.91,67.01,0.601973162190658,9.72,UP,2026-05-07T15:40:00+00:00,,,,,,
2026-05-07T15:48:27.714605+00:00,2026-05-07T15:55:45.919626+00:00,YES,0.91,55.1,0.6002564289236483,9.72,UP,2026-05-07T15:45:00+00:00,,,,,,
2026-05-07T15:53:03.718651+00:00,2026-05-07T16:00:54.429433+00:00,NO,0.89,-69.23,0.6000662078764157,12.12,DOWN,2026-05-07T15:50:00+00:00,,,17.116,33095.0,-966986.5,79975.475
2026-05-07T16:03:13.696000+00:00,2026-05-07T16:11:09.424411+00:00,YES,0.68,36.33,0.6083599184572263,-100.0,DOWN,2026-05-07T16:00:00+00:00,,,41.801,-222280.0,504600.0,79870.63
2026-05-07T16:08:19.191585+00:00,2026-05-07T16:16:50.666653+00:00,NO,0.87,-88.68,0.7609860051400712,14.62,DOWN,2026-05-07T16:05:00+00:00,,,20.042,-3098139.2,-12248888.2,79797.50200000001
2026-05-07T16:13:00.429179+00:00,2026-05-07T16:19:49.959866+00:00,NO,0.75,-48.97,0.6293831532714806,32.45,DOWN,2026-05-07T16:10:00+00:00,,,7.925,-29925.0,-4781569.0,79797.40666666666
2026-05-07T16:18:05.162109+00:00,2026-05-07T16:21:42.169373+00:00,NO,0.78,-43.34,0.6000308575464743,27.47,DOWN,2026-05-07T16:15:00+00:00,,,9.647,-110517.0,-1146173.0,79799.99
2026-05-07T16:28:00.917118+00:00,2026-05-07T16:36:50.220314+00:00,YES,0.9,68.73,0.6504903834484475,10.91,UP,2026-05-07T16:25:00+00:00,,,,,,
2026-05-07T16:33:43.204794+00:00,2026-05-07T16:37:35.708507+00:00,NO,0.79,-29.13,0.6003159225590653,25.89,DOWN,2026-05-07T16:30:00+00:00,,,18.149,-445324.0,322793.0,79951.09
2026-05-07T16:38:00.430799+00:00,2026-05-07T16:42:38.942432+00:00,NO,0.92,-76.73,0.6666789161928268,8.56,DOWN,2026-05-07T16:35:00+00:00,,,30.882,-24135.0,-942587.0,79816.5
2026-05-07T16:43:06.914024+00:00,2026-05-07T16:51:30.697962+00:00,YES,0.64,45.49,0.6063737843066596,54.92,UP,2026-05-07T16:40:00+00:00,,,,,,
2026-05-07T16:48:20.966751+00:00,2026-05-07T16:57:24.706692+00:00,YES,0.7,35.0,0.6214206559783466,41.75,UP,2026-05-07T16:45:00+00:00,,,,,,
